component_id,claim_id,category,component_text,binary_scoring_rule,source_page,source_section
M09-T05-C02,M09-T05,renter_effects,Some renters in properties not covered by rent control could spend more on rent.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
M09-T05-C03,M09-T05,renter_effects,Some renters would move less often.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
M09-T06-C01,M09-T06,rental_supply_effect,Fewer homes would likely be available to rent.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
M09-T06-C02,M09-T06,rental_supply_effect,One mechanism is landlords selling rental properties to owners who occupy them.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
M09-T07-C01,M09-T07,property_value_effect,The value of rental housing would likely decline.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
M09-T08-C01,M09-T08,effect_uncertainty,The magnitude of effects depends on how many properties local rent control covers.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
M09-T08-C02,M09-T08,effect_uncertainty,The magnitude also depends on how much rents are limited through future local actions.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
M09-T09-C01,M09-T09,property_tax_effect,Lower rental-property values would reduce property-tax revenue.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
M09-T09-C02,M09-T09,property_tax_effect,The property-tax reduction likely would eventually be at least tens of millions of dollars annually.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
M09-T09-C03,M09-T09,property_tax_effect,The reduction is less than one-half of 1 percent of all property-tax revenue.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
M09-T09-C04,M09-T09,property_tax_effect,About half of the property-tax reduction would affect schools.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
M09-T09-C05,M09-T09,property_tax_effect,The state might provide more school funding in some years to cover losses.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
M09-T10-C01,M09-T10,administrative_cost,Expanded local rent control could increase local-government administrative costs.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
M09-T10-C02,M09-T10,administrative_cost,These costs could range from a few million to tens of millions of dollars annually.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
M09-T10-C03,M09-T10,administrative_cost,These costs likely would be paid through fees on landlords.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",42;43,Official Title/Summary and Legislative Analyst Analysis
