component_id,claim_id,category,component_text,binary_scoring_rule,source_page,source_section
M10-T05-C01,M10-T05,penalties,One penalty is loss of California tax-exempt status for ten years.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T05-C02,M10-T05,penalties,One penalty is loss of health-care license for ten years.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T05-C03,M10-T05,penalties,One penalty bars receipt of state and local government contracts or grants.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T05-C04,M10-T05,penalties,One penalty restricts leaders from certain California health-care leadership positions.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T05-C05,M10-T05,penalties,All four penalties can apply when an affected entity spends below the 98-percent threshold.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T05-C06,M10-T05,penalties,"Penalties can also apply for specified unprofessional, dishonest, or harmful conduct.","Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T06-C01,M10-T06,medi_cal_rx,Proposition 34 adds Medi-Cal Rx to state law.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T06-C02,M10-T06,medi_cal_rx,"Because Medi-Cal Rx was already in effect, this does not change the current Medi-Cal drug-payment approach.","Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T07-C01,M10-T07,scope_uncertainty,Likely few entities would meet all applicability conditions.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T07-C02,M10-T07,scope_uncertainty,"The exact number of affected entities is unknown, so statewide fiscal effects are expected to be limited.","Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T08-C01,M10-T08,state_enforcement_cost,State enforcement costs likely would be in the millions of dollars annually.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T08-C02,M10-T08,state_enforcement_cost,Affected entities would pay fees to cover those enforcement costs.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T09-C01,M10-T09,potential_state_savings,Increased direct-patient-care spending on Medi-Cal patients could create state savings.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T09-C02,M10-T09,potential_state_savings,Whether such savings occur depends on what health-care services are provided.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T10-C01,M10-T10,potential_discount_cost,Some affected entities could alter operations or leave the federal discount program.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T10-C02,M10-T10,potential_discount_cost,Reduced federal discounts to Medi-Cal could create state costs.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T11-C01,M10-T11,penalty_fiscal_uncertainty,Penalties could put an affected entity out of business.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
M10-T11-C02,M10-T11,penalty_fiscal_uncertainty,The resulting fiscal effects would depend on which affected entities face penalties.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",46;47;48;49,Official Title/Summary and Legislative Analyst Analysis
