component_id,claim_id,category,component_text,binary_scoring_rule,source_page,source_section
M02-T06-C03,M02-T06,distributional_effect,"Under current law, counties may already use MHSA money for housing and personalized support services but are not required to spend a particular amount on them.",Score 1 if the response preserves the current-law counterfactual that these uses are already permitted but no particular amount is currently required. Otherwise 0.,11,Mental Health Services Act — Proposal
M02-T06-C04,M02-T06,distributional_effect,Less MHSA money would consequently be available for counties' other mental-health services.,Score 1 if the response preserves the trade-off that increased housing/support allocations leave less MHSA money for other county mental-health services. Otherwise 0.,11,Mental Health Services Act — Proposal
M02-T06-C05,M02-T06,distributional_effect,The exact amount counties spend on different services depends on future state and county decisions.,Score 1 if the response preserves that future state and county decisions determine the precise service allocation. Otherwise 0.,11,Mental Health Services Act — Proposal
M02-T07-C01,M02-T07,policy_change,"Under current MHSA rules, drug or alcohol treatment recipients must also have a mental illness.",Score 1 if the response preserves the current-law requirement that a person receiving MHSA-funded drug/alcohol treatment must also have a mental illness. Otherwise 0.,11,Mental Health Services Act — Background
M02-T07-C02,M02-T07,policy_change,Proposition 1 allows MHSA-funded drug or alcohol treatment for people without a mental illness.,Score 1 if the response states that Proposition 1 expands MHSA-funded substance-use treatment to people who do not also have a mental illness. Otherwise 0.,11,Mental Health Services Act — Proposal
M02-T08-C01,M02-T08,accountability,Proposition 1 requires annual audits of programs.,Score 1 if the response states that programs are subject to annual audits. Otherwise 0.,10,Official Title and Summary
M02-T09-C01,M02-T09,baseline_context,California has an identified shortage of places for mental-health care and drug or alcohol treatment.,Score 1 if the response identifies an existing statewide shortage of treatment capacity or treatment places. Otherwise 0.,11-12,$6.4 Billion Bond — Background
M02-T09-C02,M02-T09,baseline_context,"Addressing the identified shortage would require capacity for more than 10,000 additional people at any one time.","Score 1 if the response preserves that more than 10,000 additional people would need treatment-place capacity at one time to address the identified shortage. Otherwise 0.",11-12,$6.4 Billion Bond — Background
M02-T10-C01,M02-T10,baseline_context,An existing state program recently received about $2 billion to build treatment places.,Score 1 if the response identifies the existing roughly $2 billion state treatment-facility investment. Otherwise 0.,12,$6.4 Billion Bond — Background
M02-T10-C02,M02-T10,baseline_context,About 75 percent of the existing treatment-program grant funding had already been awarded.,Score 1 if the response preserves that about 75% of the existing program's grant funding had already been awarded. Otherwise 0.,12,$6.4 Billion Bond — Background
M02-T10-C03,M02-T10,baseline_context,The existing treatment program was expected to address less than half of the statewide treatment-place shortage.,Score 1 if the response states that the existing program would address less than half of the statewide treatment-capacity shortage. Otherwise 0.,12,$6.4 Billion Bond — Background
M02-T10-C04,M02-T10,baseline_context,No additional state funds for that existing treatment-capacity purpose were then planned.,Score 1 if the response preserves that no additional state funding for this existing treatment-capacity purpose was then planned. Otherwise 0.,12,$6.4 Billion Bond — Background
M02-T11-C01,M02-T11,fiscal_mechanism,Proposition 1 authorizes about $6.4 billion in new state bonds.,Score 1 if the response preserves the approximately $6.4 billion new-bond authorization. $6.38 billion is equivalent. Otherwise 0.,12,$6.4 Billion Bond — Proposal
M02-T11-C02,M02-T11,fiscal_mechanism,Bond borrowing must be repaid with interest over time.,Score 1 if the response preserves that the bond is borrowing that must be repaid with interest over time. Otherwise 0.,12,$6.4 Billion Bond — Proposal
M02-T12-C01,M02-T12,funding_allocation,Up to $4.4 billion of the bond would support places for mental-health care and drug or alcohol treatment.,Score 1 if the response preserves the up-to-$4.4-billion treatment facility/capacity allocation. Otherwise 0.,12,$6.4 Billion Bond — Proposal — Use of Funds
M02-T12-C02,M02-T12,funding_allocation,At least $1.5 billion of the treatment allocation must go to local governments and tribes.,Score 1 if the response preserves both the at-least-$1.5-billion amount and that it is directed to local governments and tribes. Otherwise 0.,12,$6.4 Billion Bond — Proposal — Use of Funds
M02-T12-C03,M02-T12,funding_allocation,The specific types of treatment places built with bond funds depend on future state decisions.,Score 1 if the response states that the specific treatment-facility types are not fully fixed and depend on future state decisions. Otherwise 0.,12,$6.4 Billion Bond — Proposal — Use of Funds
M02-T13-C01,M02-T13,funding_allocation,$2 billion of the bond is allocated to housing.,Score 1 if the response preserves the $2 billion housing allocation. Otherwise 0.,12-13,$6.4 Billion Bond — Proposal — Use of Funds
M02-T13-C02,M02-T13,funding_allocation,"Housing funding may support conversion of hotels, motels, and other buildings into housing.","Score 1 if the response preserves that the housing funding can support conversion of hotels, motels, or other existing buildings into housing. Otherwise 0.",12-13,$6.4 Billion Bond — Proposal — Use of Funds
M02-T13-C03,M02-T13,funding_allocation,Housing funding may support construction of new housing.,Score 1 if the response preserves that the housing funding can support construction of new housing. Otherwise 0.,12-13,$6.4 Billion Bond — Proposal — Use of Funds
M02-T13-C04,M02-T13,funding_allocation,Local governments would receive the housing money through grants or loans from the state.,Score 1 if the response states that local governments receive housing funding through grants or loans from the state. Otherwise 0.,12-13,$6.4 Billion Bond — Proposal — Use of Funds
M02-T14-C01,M02-T14,affected_groups,Bond-funded housing is for people experiencing homelessness.,Score 1 if the response identifies people experiencing homelessness as an eligible group for the bond-funded housing. Otherwise 0.,13,$6.4 Billion Bond — Proposal — Housing
M02-T14-C02,M02-T14,affected_groups,Bond-funded housing is also for people at risk of becoming homeless.,Score 1 if the response identifies people at risk of becoming homeless as an eligible group for the bond-funded housing. Otherwise 0.,13,$6.4 Billion Bond — Proposal — Housing
M02-T14-C03,M02-T14,affected_groups,"Bond-funded housing beneficiaries must also have mental-health, drug, or alcohol challenges.",Score 1 if the response preserves the additional behavioral-health/substance-use eligibility condition. Otherwise 0.,13,$6.4 Billion Bond — Proposal — Housing
M02-T14-C04,M02-T14,affected_groups,Just over half of the $2 billion housing allocation is set aside for veterans.,Score 1 if the response states that just over half of the $2 billion housing allocation is reserved or set aside for veterans. Otherwise 0.,13,$6.4 Billion Bond — Proposal — Housing
M02-T15-C01,M02-T15,fiscal_effect,Roughly $140 million of MHSA money would shift annually from counties to the state.,Score 1 if the response preserves the approximate $140 million annual county-to-state MHSA shift. Otherwise 0.,13,Fiscal Effects — MHSA
M02-T15-C02,M02-T15,fiscal_effect,The amount shifted could be higher or lower depending on total annual MHSA collections.,Score 1 if the response preserves that the approximately $140 million shift varies with the amount of MHSA revenue collected. Otherwise 0.,13,Fiscal Effects — MHSA
M02-T16-C01,M02-T16,fiscal_cost,"Counties may need other county, state, or federal money as replacement funding.","Score 1 if the response preserves the possibility that counties may need other funding sources, such as county, state, or federal money. Otherwise 0.",13,Fiscal Effects — MHSA
M02-T16-C02,M02-T16,fiscal_cost,The possible replacement funding would be needed to maintain current service levels.,Score 1 if the response connects the possible additional funding need to maintaining current service levels. Otherwise 0.,13,Fiscal Effects — MHSA
M02-T17-C01,M02-T17,fiscal_cost,Bond repayment is estimated at about $310 million annually.,Score 1 if the response preserves the approximate $310 million annual bond-repayment cost. Otherwise 0.,13,Fiscal Effects — Bond
M02-T17-C02,M02-T17,fiscal_cost,The estimated repayment period is 30 years.,Score 1 if the response preserves the 30-year repayment period. Otherwise 0.,13,Fiscal Effects — Bond
M02-T17-C03,M02-T17,fiscal_cost,Bond payments would come from the state General Fund.,Score 1 if the response identifies the state General Fund as the source of bond repayment. Otherwise 0.,13,Fiscal Effects — Bond
M02-T17-C04,M02-T17,fiscal_cost,Annual bond repayment would be less than one-half of 1 percent of state General Fund revenue.,Score 1 if the response preserves that annual repayment is less than 0.5% of state General Fund revenue. Otherwise 0.,13,Fiscal Effects — Bond
M02-T17-C05,M02-T17,fiscal_cost,Interest makes the total bond cost about 10 percent more expensive than paying cash.,Score 1 if the response preserves that borrowing/interest makes the total cost about 10% higher than paying cash. Otherwise 0.,13,Fiscal Effects — Bond
M02-T18-C01,M02-T18,implementation_cost,Local governments and tribes would have to pay some operating costs for bond-funded treatment places and housing.,Score 1 if the response states that local governments and tribes would bear some operating costs for the bond-funded treatment places and housing. Otherwise 0.,13,Fiscal Effects — Bond — Funding for Local Governments
M02-T19-C01,M02-T19,intended_benefit,"The bond is estimated to create treatment capacity for about 6,800 people at any one time.","Score 1 if the response preserves the estimated 6,800-person treatment capacity at any one time. Otherwise 0.",13,Fiscal Effects — Bond — Treatment Capacity
M02-T19-C02,M02-T19,intended_benefit,Additional treatment places may still be needed after the bond funds are spent.,Score 1 if the response preserves the explicit limitation that treatment-capacity need may remain after the bond funds are exhausted. Otherwise 0.,13,Fiscal Effects — Bond — Treatment Capacity
M02-T20-C01,M02-T20,baseline_context,"As of January 2022, about 171,500 people were experiencing homelessness in California.","Score 1 if the response preserves the approximately 171,500-person January 2022 statewide homelessness baseline. Otherwise 0.",12,$6.4 Billion Bond — Background — Homelessness
M02-T20-C02,M02-T20,baseline_context,"About 10,400 of those people experiencing homelessness were veterans.","Score 1 if the response preserves that approximately 10,400 of the people in the source's homelessness baseline were veterans. Otherwise 0.",12,$6.4 Billion Bond — Background — Homelessness
M02-T21-C01,M02-T21,baseline_context,An existing state housing program already gives grants to local governments and tribes.,Score 1 if the response identifies an existing state housing program that already funds local governments and tribes through grants. Otherwise 0.,12,$6.4 Billion Bond — Background — Housing
M02-T21-C02,M02-T21,baseline_context,"The existing state housing program can fund conversion of hotels, motels, and other buildings into housing.","Score 1 if the response preserves that the existing program can fund conversion of hotels, motels, or other buildings into housing. Otherwise 0.",12,$6.4 Billion Bond — Background — Housing
M02-T21-C03,M02-T21,baseline_context,The existing state housing program can fund construction of new housing.,Score 1 if the response preserves that the existing program can fund construction of new housing. Otherwise 0.,12,$6.4 Billion Bond — Background — Housing
M02-T21-C04,M02-T21,baseline_context,Recent state budgets had provided $3.7 billion to the existing housing program.,Score 1 if the response preserves the approximately $3.7 billion recent-budget funding baseline for the existing housing program. Otherwise 0.,12,$6.4 Billion Bond — Background — Housing
M02-T22-C01,M02-T22,intended_benefit,"The bond is estimated to build up to 4,350 housing units.","Score 1 if the response preserves the estimate of up to 4,350 housing units. Otherwise 0.",13,Fiscal Effects — Bond — Homelessness
M02-T22-C02,M02-T22,intended_benefit,"Of the estimated housing units, 2,350 would be set aside for veterans.","Score 1 if the response preserves that 2,350 housing units are estimated/set aside for veterans. Otherwise 0.",13,Fiscal Effects — Bond — Homelessness
M02-T22-C03,M02-T22,intended_benefit,The bond is estimated to provide housing to more than 20 percent of veterans experiencing homelessness.,Score 1 if the response preserves the estimate that the bond could house more than 20% of veterans experiencing homelessness. Otherwise 0.,13,Fiscal Effects — Bond — Homelessness
M02-T22-C04,M02-T22,intended_benefit,The housing built by the bond would reduce statewide homelessness only by a small amount.,Score 1 if the response explicitly preserves the source's limitation that the bond-funded housing would reduce statewide homelessness only by a small amount. Otherwise 0.,13,Fiscal Effects — Bond — Homelessness
